Soil11.scaffold_587233302_c1_1 1
Soil11.scaffold_211583530_c1_6 3
Soil12.scaffold_266712765_c1_2 2
Soil14.scaffold_576820813_c1_40 1
Soil14.scaffold_280216268_c1_12 1
Soil15.scaffold_16321085_c1_6 2
Soil16.scaffold_804923086_c1_3 3
Soil16.scaffold_313969256_c1_10 2
Soil17.scaffold_1202428475_c1_2 2
Soil17.scaffold_332687915_c1_2 2
Soil3.scaffold_408070428_c1_2 3
Soil3.scaffold_285743490_c1_2 2
Soil5.scaffold_215117222_c1_59 3
Soil5.scaffold_416434691_c1_48 2
Soil6.scaffold_312871021_c1_4 1
Soil6.scaffold_460055642_c1_2 3
T0.scaffold_786865677_c1_2 2
T0.scaffold_172278247_c1_4 2
