Soil5.scaffold_120605214_c1_7	NODE_27_length_76064_cov_15.562057_2	75.3	1229	300	4	1	1227	23138	24364	0.0e+00	2034.2
Soil17.scaffold_1045002370_c1_23	NODE_27_length_76064_cov_15.562057_2	75.2	1228	303	2	1	1227	23138	24364	0.0e+00	2019.2
Soil5.scaffold_434220697_c1_2	NODE_27_length_76064_cov_15.562057_2	74.0	1229	316	4	1	1227	23138	24364	0.0e+00	2008.8
Soil15.scaffold_1255266399_c1_142	NODE_27_length_76064_cov_15.562057_2	73.7	1228	320	3	1	1226	23138	24364	0.0e+00	2000.7
Soil14.scaffold_596019752_c1_119	NODE_27_length_76064_cov_15.562057_2	73.8	1228	320	2	1	1227	23138	24364	0.0e+00	1997.2
Soil5.scaffold_489407153_c1_201	NODE_27_length_76064_cov_15.562057_2	64.6	1233	423	8	1	1226	23138	24364	0.0e+00	1766.9
Soil5.scaffold_384418492_c1_161	NODE_27_length_76064_cov_15.562057_2	58.7	1232	501	8	1	1229	23138	24364	0.0e+00	1551.2
Soil5.scaffold_82918708_c1_12	NODE_27_length_76064_cov_15.562057_2	56.4	1228	528	7	3	1227	23141	24364	0.0e+00	1518.4
Soil5.scaffold_87619515_c1_114	NODE_27_length_76064_cov_15.562057_2	56.4	1233	528	9	1	1229	23138	24364	0.0e+00	1479.2
Soil17.scaffold_274056314_c1_61	NODE_27_length_76064_cov_15.562057_2	56.2	1238	522	11	1	1229	23138	24364	0.0e+00	1476.5
Soil15.scaffold_175810641_c1_3	NODE_27_length_76064_cov_15.562057_2	56.0	1232	534	8	1	1229	23138	24364	0.0e+00	1473.0
Soil17.scaffold_918557319_c1_2	NODE_27_length_76064_cov_15.562057_2	55.6	1230	536	7	2	1226	23140	24364	0.0e+00	1471.8
Soil9.scaffold_816779774_c1_14	NODE_27_length_76064_cov_15.562057_2	55.5	1232	540	8	1	1229	23138	24364	0.0e+00	1461.8
Soil5.scaffold_549495455_c1_6	NODE_27_length_76064_cov_15.562057_2	55.2	1233	544	9	1	1230	23138	24364	0.0e+00	1456.8
Soil6.scaffold_95998780_c1_2	NODE_27_length_76064_cov_15.562057_2	55.4	1223	514	13	8	1209	23143	24354	0.0e+00	1417.9
Soil3.scaffold_414071996_c1_8	NODE_27_length_76064_cov_15.562057_2	54.6	1228	530	14	1	1212	23138	24354	0.0e+00	1408.7
Soil9.scaffold_209032411_c1_3	NODE_27_length_76064_cov_15.562057_2	55.3	1229	520	16	1	1212	23138	24354	0.0e+00	1405.6
Soil9.scaffold_766455321_c1_2	NODE_27_length_76064_cov_15.562057_2	54.1	1232	538	14	1	1216	23138	24358	0.0e+00	1403.3
Soil3.scaffold_530221301_c1_2	NODE_27_length_76064_cov_15.562057_2	56.0	1200	499	15	3	1186	23168	24354	0.0e+00	1396.7
Soil16.scaffold_1312607544_c1_3	NODE_27_length_76064_cov_15.562057_2	54.7	1221	525	14	11	1214	23145	24354	0.0e+00	1393.3
Soil9.scaffold_98038919_c1_19	NODE_27_length_76064_cov_15.562057_2	54.5	1216	528	10	11	1212	23150	24354	0.0e+00	1392.5
Soil5.scaffold_13272894_c1_8	NODE_27_length_76064_cov_15.562057_2	54.2	1225	536	13	17	1227	23141	24354	0.0e+00	1389.8
Soil6.scaffold_86801766_c1_2	NODE_27_length_76064_cov_15.562057_2	53.8	1228	538	15	5	1217	23141	24354	0.0e+00	1388.6
T0.scaffold_273218771_c1_2	NODE_27_length_76064_cov_15.562057_2	53.8	1225	539	13	19	1228	23142	24354	0.0e+00	1387.1
Soil5.scaffold_544698016_c1_2	NODE_27_length_76064_cov_15.562057_2	55.0	1213	519	15	26	1222	23160	24361	0.0e+00	1384.8
Soil5.scaffold_183283646_c1_24	NODE_27_length_76064_cov_15.562057_2	54.5	1229	527	18	5	1214	23139	24354	0.0e+00	1382.9
Soil5.scaffold_559257041_c1_1	NODE_27_length_76064_cov_15.562057_2	54.0	1232	536	18	24	1237	23143	24361	0.0e+00	1375.9
Soil9.scaffold_175774837_c1_4	NODE_27_length_76064_cov_15.562057_2	55.2	1181	502	16	1	1165	23185	24354	0.0e+00	1362.1
Soil11.scaffold_65427810_c1_20	NODE_27_length_76064_cov_15.562057_2	53.6	1212	534	15	16	1210	23157	24357	0.0e+00	1357.0
Soil3.scaffold_333288240_c1_8	NODE_27_length_76064_cov_15.562057_2	52.9	1246	536	15	22	1252	23145	24354	0.0e+00	1353.2
Soil15.scaffold_116822102_c1_19	NODE_27_length_76064_cov_15.562057_2	53.3	1214	540	15	63	1260	23152	24354	0.0e+00	1323.1
Soil5.scaffold_249001418_c1_2	NODE_27_length_76064_cov_15.562057_2	54.4	1196	518	14	61	1240	23170	24354	0.0e+00	1321.2
Soil5.scaffold_395480119_c1_5	NODE_27_length_76064_cov_15.562057_2	53.0	1193	535	13	47	1221	23170	24354	0.0e+00	1298.5
Soil14.scaffold_465502786_c1_2	NODE_27_length_76064_cov_15.562057_2	52.0	1200	544	17	48	1230	23170	24354	0.0e+00	1286.9
Soil11.scaffold_587233302_c1_1	NODE_27_length_76064_cov_15.562057_2	50.9	1218	579	12	16	1224	23156	24363	0.0e+00	1271.9
T0.scaffold_172278247_c1_4	NODE_27_length_76064_cov_15.562057_2	50.5	1215	571	12	30	1234	23170	24363	0.0e+00	1269.6
Soil17.scaffold_1202428475_c1_2	NODE_27_length_76064_cov_15.562057_2	50.5	1220	564	15	30	1234	23170	24364	0.0e+00	1249.6
Soil3.scaffold_285743490_c1_2	NODE_27_length_76064_cov_15.562057_2	50.5	1216	562	20	30	1227	23170	24363	0.0e+00	1239.6
Soil16.scaffold_436666653_c1_2	NODE_27_length_76064_cov_15.562057_2	50.6	1200	560	15	45	1226	23170	24354	0.0e+00	1216.1
