query (incomplete)	target (complete)	score
Soil11.scaffold_22734411_c1_1	Soil6.scaffold_477923070_c1_3	3.994219653179191
Soil11.scaffold_490532909_c1_1	Soil9.scaffold_697656373_c1_4	4.054313099041534
Soil11.scaffold_38513081_c1_1	Soil3.scaffold_87487483_c1_63	3.727272727272727
Soil11.scaffold_659562036_c1_1	T0.scaffold_659002595_c1_5	3.9663461538461537
Soil11.scaffold_342379460_c1_1	Soil6.scaffold_643455614_c1_27	5.0305206463195695
Soil11.scaffold_431962398_c1_3	T0.scaffold_472042985_c1_3	4.0932642487046635
Soil11.scaffold_222203753_c1_1	Soil6.scaffold_643455614_c1_27	5.182758620689655
Soil11.scaffold_79915398_c1_1	Soil16.scaffold_325490796_c1_5	4.176470588235294
Soil11.scaffold_372285575_c1_1	Soil3.scaffold_356436555_c1_9	3.9965156794425085
Soil11.scaffold_138395303_c1_1	Soil14.scaffold_267382097_c1_2	4.978494623655914
Soil11.scaffold_307945050_c1_1	T0.scaffold_746064860_c1_4	3.902970297029703
Soil11.scaffold_228745327_c1_1	T0.scaffold_959910020_c1_3	4.184357541899441
Soil11.scaffold_486363599_c1_1	Soil9.scaffold_748882588_c1_3	4.393939393939394
Soil11.scaffold_223837916_c1_7	T0.scaffold_1000633676_c1_60	4.268656716417911
Soil11.scaffold_71657019_c1_3	Soil9.scaffold_748882588_c1_3	4.559139784946237
Soil11.scaffold_650232602_c1_3	T0.scaffold_1000633676_c1_60	4.095541401273885
Soil11.scaffold_109775741_c1_1	Soil14.scaffold_202320580_c1_6	4.310344827586207
Soil11.scaffold_384763068_c1_1	Soil6.scaffold_641093229_c1_17	4.142857142857143
Soil11.scaffold_603656166_c1_1	Soil3.scaffold_544060472_c1_9	5.226744186046512
Soil11.scaffold_271028298_c1_1	Soil6.scaffold_643455614_c1_27	4.254620123203286
Soil11.scaffold_487530849_c1_1	Soil9.scaffold_748882588_c1_3	4.515625
Soil11.scaffold_605336665_c1_1	Soil11.scaffold_450846843_c1_2	4.140255009107468
Soil11.scaffold_321218620_c1_1	Soil9.scaffold_748882588_c1_3	4.5019607843137255
Soil11.scaffold_634755034_c1_1	Soil17.scaffold_980233456_c1_4	4.514450867052023
Soil11.scaffold_389350717_c1_1	Soil3.scaffold_544060472_c1_9	3.58203125
