orfid1	orfid2	rmsd	num_aligned_atoms	num_cycles	rmsd_prerefine	num_aligned_atoms_prerefine	raw_alignment_score	num_aligned_residues
1Q16	Soil11.scaffold_211583530_c1_6	0.3214247524738312	7092	5	1.6672393083572388	9067	4762.5	1235
1Q16	Soil11.scaffold_431547323_c1_2	0.5822731256484985	6271	5	3.0299792289733887	8100	2961.5	1178
1Q16	Soil11.scaffold_587233302_c1_1	0.30815157294273376	6938	5	2.1948254108428955	8933	4624.5	1228
1Q16	Soil11.scaffold_65427810_c1_20	0.4600348472595215	6394	5	2.603931427001953	8333	3399.0	1192
1Q16	Soil12.scaffold_266712765_c1_2	0.3146092891693115	6971	5	1.46125066280365	9002	4697.0	1240
1Q16	Soil14.scaffold_280216268_c1_12	0.3141253888607025	6863	5	1.2100868225097656	8911	4608.5	1222
1Q16	Soil14.scaffold_465502786_c1_2	0.5209528803825378	6413	5	2.7045397758483887	8192	3182.0	1193
1Q16	Soil14.scaffold_576820813_c1_40	0.417799174785614	6785	5	1.4463374614715576	8698	4069.5	1216
1Q16	Soil14.scaffold_596019752_c1_119	0.46116411685943604	6329	5	1.9410076141357422	8358	3289.0	1202
1Q16	Soil15.scaffold_116822102_c1_19	0.5243344902992249	6504	5	1.781446099281311	8245	3315.0	1193
1Q16	Soil15.scaffold_1255266399_c1_142	0.432319700717926	6187	5	2.260272979736328	8427	3368.0	1206
1Q16	Soil15.scaffold_16321085_c1_6	0.30551859736442566	6947	5	1.006465196609497	8997	4770.5	1228
1Q16	Soil15.scaffold_175810641_c1_3	0.48132577538490295	6497	5	1.6868096590042114	8420	3445.0	1205
1Q16	Soil16.scaffold_1312607544_c1_3	0.5075487494468689	6558	5	1.5821255445480347	8265	3326.0	1198
1Q16	Soil16.scaffold_313969256_c1_10	0.3133125901222229	7074	5	2.085634708404541	9087	4758.0	1239
1Q16	Soil16.scaffold_436666653_c1_2	0.5155636668205261	6147	5	1.8602148294448853	7920	2992.5	1165
1Q16	Soil16.scaffold_804923086_c1_3	0.3231906294822693	7020	5	1.196601152420044	9048	4747.0	1234
1Q16	Soil17.scaffold_1045002370_c1_23	0.45738551020622253	6286	5	2.0643346309661865	8308	3288.5	1194
1Q16	Soil17.scaffold_1202428475_c1_2	0.32662731409072876	7076	5	1.5816426277160645	9052	4725.5	1236
1Q16	Soil17.scaffold_274056314_c1_61	0.5094183683395386	6457	5	1.898403525352478	8429	3322.0	1205
1Q16	Soil17.scaffold_332687915_c1_2	0.317993700504303	7033	5	1.2884585857391357	9050	4738.5	1241
1Q16	Soil17.scaffold_918557319_c1_2	0.4425656497478485	6556	5	2.2904891967773438	8477	3568.0	1206
1Q16	Soil3.scaffold_285743490_c1_2	0.29137617349624634	6957	5	1.0131282806396484	8960	4773.5	1227
1Q16	Soil3.scaffold_333288240_c1_8	0.5000661611557007	6457	5	1.798525094985962	8119	3272.0	1181
1Q16	Soil3.scaffold_408070428_c1_2	0.30282163619995117	7019	5	1.644347071647644	9084	4746.5	1237
1Q16	Soil3.scaffold_414071996_c1_8	0.4965924620628357	6627	5	1.5068796873092651	8398	3458.0	1202
1Q16	Soil3.scaffold_530221301_c1_2	0.49686145782470703	6565	5	1.5814893245697021	8201	3368.0	1176
1Q16	Soil5.scaffold_120605214_c1_7	0.4579702913761139	6275	5	2.3999581336975098	8324	3290.5	1194
1Q16	Soil5.scaffold_13272894_c1_8	0.49078139662742615	6502	5	1.7029623985290527	8252	3342.0	1191
1Q16	Soil5.scaffold_133269568_c1_66	0.5584449768066406	6226	5	3.025806188583374	8050	2923.5	1168
1Q16	Soil5.scaffold_183283646_c1_24	0.5167232751846313	6548	5	2.4854576587677	8297	3322.5	1199
1Q16	Soil5.scaffold_215117222_c1_59	0.3235558867454529	7092	5	1.8629834651947021	9027	4662.5	1239
1Q16	Soil5.scaffold_249001418_c1_2	0.49465247988700867	6459	5	2.0073671340942383	8173	3247.0	1195
