T0.scaffold_563122406_c1_2	T0.scaffold_563122406_c1_2	Soil17.scaffold_102369427_c1_1
T0.scaffold_610518454_c1_1	T0.scaffold_610518454_c1_1	Soil3.scaffold_26587228_c1_1
T0.scaffold_914934534_c1_1	T0.scaffold_914934534_c1_1	Soil9.scaffold_63696370_c1_1
T0.scaffold_1052029150_c1_1	T0.scaffold_1052029150_c1_1	Soil5.scaffold_113795878_c1_1
T0.scaffold_995781201_c1_1	T0.scaffold_995781201_c1_1	Soil9.scaffold_353055196_c1_5
T0.scaffold_777471478_c1_1	T0.scaffold_995781201_c1_1	Soil9.scaffold_353055196_c1_5
T0.scaffold_519767388_c1_1	T0.scaffold_519767388_c1_1	T0.scaffold_308047681_c1_10
T0.scaffold_561169257_c1_1	T0.scaffold_561169257_c1_1	Soil6.scaffold_47353953_c1_4
T0.scaffold_1095986051_c1_1	T0.scaffold_1095986051_c1_1	Soil6.scaffold_370324234_c1_1
T0.scaffold_1012131347_c1_1	T0.scaffold_1012131347_c1_1	Soil5.scaffold_426188557_c1_1
T0.scaffold_525110741_c1_1	T0.scaffold_525110741_c1_1	Soil5.scaffold_549637727_c1_1
T0.scaffold_1061906687_c1_1	T0.scaffold_1061906687_c1_1	Soil16.scaffold_1078417100_c1_2
T0.scaffold_273218771_c1_2	T0.scaffold_273218771_c1_2	Soil3.scaffold_504725650_c1_2
T0.scaffold_967177930_c1_5	T0.scaffold_967177930_c1_5	Soil14.scaffold_1074531152_c1_2
T0.scaffold_61404940_c1_1	T0.scaffold_61404940_c1_1	Soil5.scaffold_113795878_c1_1
T0.scaffold_433838395_c1_1	T0.scaffold_61404940_c1_1	Soil5.scaffold_113795878_c1_1
T0.scaffold_499854029_c1_1	T0.scaffold_499854029_c1_1	T0.scaffold_851692350_c1_1
T0.scaffold_1023993709_c1_2	T0.scaffold_1023993709_c1_2	Soil3.scaffold_504725650_c1_2
T0.scaffold_1146579158_c1_1	T0.scaffold_1146579158_c1_1	Soil6.scaffold_370324234_c1_1
T0.scaffold_76076085_c1_1	T0.scaffold_76076085_c1_1	Soil15.scaffold_998637677_c1_1
T0.scaffold_851692350_c1_1	T0.scaffold_851692350_c1_1	T0.scaffold_851692350_c1_1
T0.scaffold_327279428_c1_4	T0.scaffold_327279428_c1_4	T0.scaffold_327279428_c1_4
T0.scaffold_847435721_c1_1	T0.scaffold_847435721_c1_1	Soil3.scaffold_368174673_c1_1
T0.scaffold_339049266_c1_1	T0.scaffold_339049266_c1_1	Soil5.scaffold_100460575_c1_5
T0.scaffold_69618446_c1_13	T0.scaffold_69618446_c1_13	Soil9.scaffold_389291796_c1_1
T0.scaffold_634312899_c1_1	T0.scaffold_69618446_c1_13	Soil9.scaffold_389291796_c1_1
T0.scaffold_673418858_c1_1	T0.scaffold_69618446_c1_13	Soil9.scaffold_389291796_c1_1
T0.scaffold_516244210_c1_4	T0.scaffold_516244210_c1_4	Soil5.scaffold_190334812_c1_127
T0.scaffold_961428012_c1_71	T0.scaffold_961428012_c1_71	T0.scaffold_961428012_c1_71
T0.scaffold_290627530_c1_1	T0.scaffold_290627530_c1_1	Soil5.scaffold_100460575_c1_5
T0.scaffold_972952962_c1_1	T0.scaffold_972952962_c1_1	T0.scaffold_521600323_c1_3
T0.scaffold_16942130_c1_1	T0.scaffold_16942130_c1_1	Soil11.scaffold_163615468_c1_2
T0.scaffold_684329388_c1_1	T0.scaffold_684329388_c1_1	Soil9.scaffold_498555357_c1_1
T0.scaffold_360551274_c1_1	T0.scaffold_360551274_c1_1	T0.scaffold_967757664_c1_1
T0.scaffold_50999882_c1_2	T0.scaffold_50999882_c1_2	Soil6.scaffold_337799130_c1_1
T0.scaffold_967757664_c1_1	T0.scaffold_967757664_c1_1	T0.scaffold_967757664_c1_1
