Soil15.scaffold_1261801871_c1_1	Soil15.scaffold_1261801871_c1_1	Soil16.scaffold_540689302_c1_8	K04561	21.7
Soil15.scaffold_263621923_c1_2	Soil15.scaffold_263621923_c1_2	Soil9.scaffold_98975619_c1_1	K04561	25.7
Soil15.scaffold_1107515837_c1_5	Soil15.scaffold_1107515837_c1_5	Soil9.scaffold_331018778_c1_11	K04561	22
Soil15.scaffold_746054236_c1_37	Soil15.scaffold_1107515837_c1_5	Soil9.scaffold_331018778_c1_11	K04561	22
Soil15.scaffold_1185547291_c1_11	Soil15.scaffold_1107515837_c1_5	Soil9.scaffold_331018778_c1_11	K04561	22
Soil15.scaffold_486307041_c1_2	Soil15.scaffold_1107515837_c1_5	Soil9.scaffold_331018778_c1_11	K04561	22
Soil15.scaffold_1074593988_c1_1	Soil15.scaffold_1074593988_c1_1	T0.scaffold_125423399_c1_1	K04561	26.2
Soil15.scaffold_940962908_c1_1	Soil15.scaffold_940962908_c1_1	Soil15.scaffold_940962908_c1_1	K04561	29.1
Soil15.scaffold_253115966_c1_1	Soil15.scaffold_253115966_c1_1	Soil15.scaffold_253115966_c1_1	K04561	26.7
Soil15.scaffold_808792528_c1_1	Soil15.scaffold_808792528_c1_1	Soil12.scaffold_895280938_c1_5	K04561	20.9
Soil15.scaffold_864622369_c1_1	Soil15.scaffold_808792528_c1_1	Soil12.scaffold_895280938_c1_5	K04561	20.9
Soil15.scaffold_662764564_c1_28	Soil15.scaffold_662764564_c1_28	Soil16.scaffold_559285480_c1_108	K04561	21.4
Soil15.scaffold_641744635_c1_2	Soil15.scaffold_641744635_c1_2	Soil15.scaffold_641744635_c1_2	K04561	27.7
Soil15.scaffold_447258540_c1_1	Soil15.scaffold_447258540_c1_1	Soil15.scaffold_447258540_c1_1	K04561	24.1
Soil15.scaffold_576297940_c1_1	Soil15.scaffold_447258540_c1_1	Soil15.scaffold_447258540_c1_1	K04561	24.1
Soil15.scaffold_461241966_c1_1	Soil15.scaffold_461241966_c1_1	Soil15.scaffold_461241966_c1_1	K04561	25
Soil15.scaffold_1242775295_c1_2	Soil15.scaffold_461241966_c1_1	Soil15.scaffold_461241966_c1_1	K04561	25
Soil15.scaffold_1264101541_c1_4	Soil15.scaffold_1264101541_c1_4	Soil16.scaffold_1374407076_c1_5	K04561	21
Soil15.scaffold_791973328_c1_8	Soil15.scaffold_1264101541_c1_4	Soil16.scaffold_1374407076_c1_5	K04561	21
Soil15.scaffold_107301990_c1_7	Soil15.scaffold_1264101541_c1_4	Soil16.scaffold_1374407076_c1_5	K04561	21
Soil15.scaffold_1196458892_c1_8	Soil15.scaffold_1264101541_c1_4	Soil16.scaffold_1374407076_c1_5	K04561	21
Soil15.scaffold_1150480747_c1_24	Soil15.scaffold_1264101541_c1_4	Soil16.scaffold_1374407076_c1_5	K04561	21
